YEAR,MONTH,AREA,NEGEAR,GEARNM,COMNAME,LENANML,NUMLEN,NUMLEN
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,33,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,32,1,2
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,30,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,35,2,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,33,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,32,2,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,31,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,27,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,37,1,2
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,37,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,38,1,2
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,20,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,22,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,26,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,27,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,29,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,31,1,3
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,32,2,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,34,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,34,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,37,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,33,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,30,3,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,38,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,28,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,27,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,26,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,29,1,2
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,31,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,29,2,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,32,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,55,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,47,1,4
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,43,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,38,2,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,35,1,1
2003,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,37,1,1
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,31,1,1
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,28,2,2
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,33,1,3
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,32,1,3
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,38,1,4
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,31,2,1
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,30,1,2
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,29,2,1
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,28,1,2
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,26,4,1
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,25,3,1
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,24,3,1
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,23,2,2
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,32,1,1
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,37,1,1
2003,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,33,1,1
2003,09,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,45,1,1
2003,09,514,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,50,1,1
2003,10,513,117,"GILL NET,DRIFT-SINK, FISH",LUMPFISH,36,1,1
2003,11,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,35,1,1
2003,11,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,33,1,1
2003,11,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,30,1,1
2003,11,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,36,1,1
2003,11,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,51,1,1
2003,11,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,30,1,1
2003,11,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,34,1,1
2003,11,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,43,1,1
2003,11,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,45,1,1
2003,11,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,54,1,1
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,40,1,1
2003,12,512,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,41,1,1
2003,12,512,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,43,1,1
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,26,1,3
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,30,3,1
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,31,1,1
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,32,1,2
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,33,2,3
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,34,3,3
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,49,1,1
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,37,1,1
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,38,1,2
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,39,2,3
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,46,1,1
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,41,3,1
2003,12,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,35,3,1
2004,01,465,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,40,1,1
2004,01,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,78,1,1
2004,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,21,1,1
2004,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,26,1,1
2004,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,39,1,1
2004,04,561,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,49,1,1
2004,04,537,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,38,1,1
2004,04,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,38,1,1
2004,04,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,37,1,1
2004,04,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,49,1,1
2004,05,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,34,1,1
2004,05,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,30,1,1
2004,05,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,35,1,1
2004,05,537,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,44,1,1
2004,06,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,36,1,1
2004,07,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,28,1,1
2004,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,30,1,2
2004,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,33,1,1
2004,07,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,28,1,1
2004,07,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,32,1,1
2004,07,513,370,"TRAWL,OTTER,MIDWATER",LUMPFISH,39,1,1
2004,07,513,370,"TRAWL,OTTER,MIDWATER",LUMPFISH,30,1,1
2004,07,513,370,"TRAWL,OTTER,MIDWATER",LUMPFISH,35,1,1
2004,08,522,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,21,2,1
2004,08,522,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,17,1,1
2004,08,522,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,19,1,1
2004,08,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,34,1,1
2004,08,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,29,1,2
2004,08,513,117,"GILL NET,DRIFT-SINK, FISH",LUMPFISH,67,1,1
2004,08,513,117,"GILL NET,DRIFT-SINK, FISH",LUMPFISH,58,1,1
2004,08,513,117,"GILL NET,DRIFT-SINK, FISH",LUMPFISH,57,2,1
2004,08,513,117,"GILL NET,DRIFT-SINK, FISH",LUMPFISH,63,1,1
2004,08,513,117,"GILL NET,DRIFT-SINK, FISH",LUMPFISH,66,1,1
2004,08,513,117,"GILL NET,DRIFT-SINK, FISH",LUMPFISH,38,1,2
2004,08,513,117,"GILL NET,DRIFT-SINK, FISH",LUMPFISH,60,1,2
2004,08,513,117,"GILL NET,DRIFT-SINK, FISH",LUMPFISH,68,2,1
2004,08,514,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,46,1,1
2004,08,514,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,33,1,1
2004,08,514,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,29,1,1
2004,08,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,46,1,1
2004,08,513,117,"GILL NET,DRIFT-SINK, FISH",LUMPFISH,51,1,1
2004,08,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,34,1,1
2004,08,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,49,1,1
2004,08,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,56,1,1
2004,08,513,117,"GILL NET,DRIFT-SINK, FISH",LUMPFISH,29,1,1
2004,08,513,117,"GILL NET,DRIFT-SINK, FISH",LUMPFISH,52,1,1
2004,08,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,45,1,1
2004,08,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,55,1,1
2004,08,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,54,1,1
2004,08,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,35,2,1
2004,08,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,46,1,1
2004,09,514,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,32,1,1
2004,09,513,117,"GILL NET,DRIFT-SINK, FISH",LUMPFISH,54,1,1
2004,09,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,33,1,1
2004,10,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,38,1,1
2004,10,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,39,1,1
2004,10,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,31,1,1
2004,10,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,24,1,1
2004,11,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,39,1,1
2004,11,514,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,39,1,1
2004,11,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,31,1,2
2004,11,512,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,44,1,1
2004,11,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,30,1,1
2004,11,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,50,1,1
2004,12,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,30,1,6
2004,12,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,32,1,4
2004,12,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,45,1,4
2004,12,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,45,1,2
2004,12,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,57,1,3
2004,12,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,38,1,3
2004,12,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,47,1,1
2004,12,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,50,1,2
2004,12,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,53,1,1
2005,01,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,36,1,3
2005,01,515,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,24,1,2
2005,01,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,39,1,3
2005,01,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,47,1,1
2005,01,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,42,1,1
2005,01,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,46,1,1
2005,01,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,31,2,1
2005,02,514,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,49,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,40,1,2
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,42,1,3
2005,02,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,41,1,3
2005,02,514,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,32,1,2
2005,02,514,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,36,1,1
2005,02,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,45,1,1
2005,02,525,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,45,1,2
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,44,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,48,1,2
2005,02,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,42,1,1
2005,02,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,45,1,1
2005,02,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,42,1,1
2005,02,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,41,1,1
2005,02,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,39,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,36,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,37,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,41,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,42,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,43,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,46,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,47,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,43,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,44,2,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,45,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,46,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,31,1,1
2005,02,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,34,1,1
2005,02,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,41,1,1
2005,02,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,42,2,1
2005,02,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,45,3,1
2005,02,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,46,1,1
2005,02,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,49,1,1
2005,03,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,34,1,4
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,36,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,32,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,42,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,42,1,1
2005,03,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,45,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,43,1,1
2005,03,464,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,47,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,46,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,36,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,40,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,42,1,1
2005,03,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,42,1,1
2005,03,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,51,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,45,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,47,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,39,1,1
2005,03,464,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,48,1,1
2005,03,464,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,44,1,1
2005,03,464,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,46,1,1
2005,03,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,42,1,1
2005,03,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,34,1,1
2005,03,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,47,1,1
2005,03,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,48,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,42,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,53,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,46,1,1
2005,03,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,39,1,1
2005,03,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,38,2,1
2005,03,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,45,1,1
2005,03,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,41,1,1
2005,03,521,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,40,2,1
2005,04,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,34,1,1
2005,04,513,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,36,1,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,28,1,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,29,2,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,26,1,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,30,1,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,42,1,1
2005,05,561,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,52,1,1
2005,05,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,46,1,1
2005,05,522,050,"TRAWL,OTTER,BOTTOM,FISH",LUMPFISH,47,1,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,28,2,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,29,3,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,30,1,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,24,2,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,25,1,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,27,3,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,26,6,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,27,4,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,28,4,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,29,2,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,25,1,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,31,3,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,33,1,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,24,1,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,23,1,1
2005,05,514,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,30,3,1
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,30,1,1
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,31,1,1
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,24,1,1
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,25,2,1
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,27,3,1
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,51,1,2
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,50,1,3
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,38,2,1
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,34,1,1
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,32,2,1
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,31,1,1
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,30,1,1
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,29,2,1
2005,06,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,28,3,2
2005,07,513,170,"TRAWL,OTTER,MIDWATER PAIRED",LUMPFISH,55,1,1
2005,07,514,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,45,1,1
2005,07,513,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,55,1,1
2005,08,514,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,41,1,1
2005,08,514,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,41,1,2
2005,08,514,100,"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",LUMPFISH,54,1,1
